StudyID,FishID,GEN,time,first_time,GenRKM,Region,GenLat,GenLon,Rel_date,RelRKM,release_latitude,release_longitude,Rel_loc
Upper_Butte_2021,UB2021-001,UpperButte_RST_Rel,2021-04-20T16:00:00Z,2021-04-20 08:00:00,340.854,Butte Ck,39.70936,-121.75056,4/20/2021 8:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
Upper_Butte_2021,UB2021-001,UpperButte_SKWY,2021-04-20T17:53:24Z,2021-04-20 09:53:24,338.4,Butte Ck,39.70481,-121.77057,4/20/2021 8:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
Upper_Butte_2021,UB2021-002,UpperButte_RST_Rel,2021-04-20T16:00:00Z,2021-04-20 08:00:00,340.854,Butte Ck,39.70936,-121.75056,4/20/2021 8:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
Upper_Butte_2021,UB2021-002,UpperButte_SKWY,2021-04-20T17:53:09Z,2021-04-20 09:53:09,338.4,Butte Ck,39.70481,-121.77057,4/20/2021 8:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
Upper_Butte_2021,UB2021-003,UpperButte_RST_Rel,2021-04-20T16:00:00Z,2021-04-20 08:00:00,340.854,Butte Ck,39.70936,-121.75056,4/20/2021 8:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
Upper_Butte_2021,UB2021-003,UpperButte_SKWY,2021-04-20T21:09:18Z,2021-04-20 13:09:18,338.4,Butte Ck,39.70481,-121.77057,4/20/2021 8:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
Upper_Butte_2021,UB2021-004,UpperButte_RST_Rel,2021-04-20T16:00:00Z,2021-04-20 08:00:00,340.854,Butte Ck,39.70936,-121.75056,4/20/2021 8:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
Upper_Butte_2021,UB2021-004,UpperButte_SKWY,2021-04-20T18:35:23Z,2021-04-20 10:35:23,338.4,Butte Ck,39.70481,-121.77057,4/20/2021 8:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
Upper_Butte_2021,UB2021-005,UpperButte_RST_Rel,2021-04-20T16:00:00Z,2021-04-20 08:00:00,340.854,Butte Ck,39.70936,-121.75056,4/20/2021 8:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
Upper_Butte_2021,UB2021-005,UpperButte_SKWY,2021-04-20T18:45:26Z,2021-04-20 10:45:26,338.4,Butte Ck,39.70481,-121.77057,4/20/2021 8:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
Upper_Butte_2021,UB2021-006,UpperButte_RST_Rel,2021-04-20T16:00:00Z,2021-04-20 08:00:00,340.854,Butte Ck,39.70936,-121.75056,4/20/2021 8:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
Upper_Butte_2021,UB2021-006,UpperButte_SKWY,2021-04-20T18:58:17Z,2021-04-20 10:58:17,338.4,Butte Ck,39.70481,-121.77057,4/20/2021 8:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
Upper_Butte_2021,UB2021-007,UpperButte_RST_Rel,2021-04-20T16:00:00Z,2021-04-20 08:00:00,340.854,Butte Ck,39.70936,-121.75056,4/20/2021 8:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
