"FishID","GEN","GenRKM","Region","min_time","year"
"Yuba_2021-001","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-002","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-003","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-004","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-005","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-006","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-007","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-008","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-009","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-010","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-011","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-012","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-013","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-014","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-015","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-016","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-017","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-018","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-019","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-020","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-021","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-022","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-023","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-024","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-025","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-026","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-027","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-028","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-029","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-030","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-031","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-032","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-033","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-034","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-035","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-036","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-037","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-038","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-039","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-040","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-041","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-042","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-043","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-044","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-045","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-046","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-047","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-048","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-049","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-050","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-051","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-052","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-053","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-054","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-055","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-056","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-057","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-058","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-059","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-060","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
