StudyID,FishID,GEN,time,first_time,GenRKM,Region,GenLat,GenLon,Rel_date,RelRKM,release_latitude,release_longitude,Rel_loc
RBDD_2017,RBDD2017-001,BeniciaW,2017-06-19T20:33:46Z,2017-06-19 12:33:46,52.048,Carquinez Strait,38.041233,-122.12382,6/6/2017 21:00:00,461.579,40.15304,-122.20219,RBDD_Rel
RBDD_2017,RBDD2017-001,BeniciaW,2017-06-19T20:35:27Z,2017-06-19 12:35:27,52.048,Carquinez Strait,38.041233,-122.12382,6/6/2017 21:00:00,461.579,40.15304,-122.20219,RBDD_Rel
RBDD_2017,RBDD2017-001,BeniciaW,2017-06-19T20:37:14Z,2017-06-19 12:37:14,52.048,Carquinez Strait,38.041233,-122.12382,6/6/2017 21:00:00,461.579,40.15304,-122.20219,RBDD_Rel
RBDD_2017,RBDD2017-001,BeniciaW,2017-06-19T20:37:19Z,2017-06-19 12:37:19,52.048,Carquinez Strait,38.041233,-122.12382,6/6/2017 21:00:00,461.579,40.15304,-122.20219,RBDD_Rel
RBDD_2017,RBDD2017-001,BeniciaW,2017-06-19T20:38:32Z,2017-06-19 12:38:32,52.048,Carquinez Strait,38.041233,-122.12382,6/6/2017 21:00:00,461.579,40.15304,-122.20219,RBDD_Rel
RBDD_2017,RBDD2017-001,BeniciaW,2017-06-19T20:38:37Z,2017-06-19 12:38:37,52.048,Carquinez Strait,38.041233,-122.12382,6/6/2017 21:00:00,461.579,40.15304,-122.20219,RBDD_Rel
RBDD_2017,RBDD2017-001,BeniciaW,2017-06-19T20:39:22Z,2017-06-19 12:39:22,52.048,Carquinez Strait,38.041233,-122.12382,6/6/2017 21:00:00,461.579,40.15304,-122.20219,RBDD_Rel
RBDD_2017,RBDD2017-001,BeniciaW,2017-06-19T20:39:40Z,2017-06-19 12:39:40,52.048,Carquinez Strait,38.041233,-122.12382,6/6/2017 21:00:00,461.579,40.15304,-122.20219,RBDD_Rel
RBDD_2017,RBDD2017-001,Blw_FRConf,2017-06-15T22:50:46Z,2017-06-15 14:50:46,203.468,Lower Sac R,38.778105,-121.607845,6/6/2017 21:00:00,461.579,40.15304,-122.20219,RBDD_Rel
RBDD_2017,RBDD2017-001,Blw_FRConf,2017-06-15T22:50:46Z,2017-06-15 14:50:46,203.468,Lower Sac R,38.778105,-121.607845,6/6/2017 21:00:00,461.579,40.15304,-122.20219,RBDD_Rel
