"release_group_id","release_location_name","relloc_area","run","year","month","mid_release_date","Nrel","avg_length","Maxflowsac","cwt_recaptures","ReachKM_cwt","Rmult_cwt","Sz_cwt","CovX_cwt"
2259,"SAC R BEL RBDD","RBDD","fall",1994,3,"1994-03-10",48948,45,6790,0,240.3631,2.403631,-4.10385427945435,-0.830917025659302
2260,"SAC R BEL RBDD","RBDD","fall",1994,3,"1994-03-10",45073,45,6790,0,240.3631,2.403631,-4.10385427945435,-0.830917025659302
432,"COLEMAN NFH","Battle","fall",1994,4,"1994-04-14",53575,64,9030,0,300.443064082,3.00443064082,-1.15773392900699,-0.709141158770097
560,"COLEMAN NFH","Battle","fall",1994,4,"1994-04-14",50010,71,9030,0,300.443064082,3.00443064082,-0.0723211683158614,-0.709141158770097
790,"COLEMAN NFH","Battle","fall",1994,4,"1994-04-14",48704,76,9030,0,300.443064082,3.00443064082,0.702973660749233,-0.709141158770097
474,"COLEMAN NFH","Battle","fall",1996,3,"1996-03-14",257870,65,48900,0,300.443064082,3.00443064082,-1.00267496319397,1.45836054340518
477,"COLEMAN NFH","Battle","fall",1996,3,"1996-03-29",296722,69,48900,0,300.443064082,3.00443064082,-0.382439099941899,1.45836054340518
667,"COLEMAN NFH","Battle","fall",1996,4,"1996-04-23",261698,79,13400,0,300.443064082,3.00443064082,1.16815055818829,-0.471569489883566
411,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-16",65391,56,10200,0,300.443064082,3.00443064082,-2.39820565551114,-0.645535014011003
456,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-16",67281,61,10200,0,300.443064082,3.00443064082,-1.62291082644605,-0.645535014011003
506,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-09",31141,67,10200,0,300.443064082,3.00443064082,-0.692557031567937,-0.645535014011003
552,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-16",31859,67,10200,0,300.443064082,3.00443064082,-0.692557031567937,-0.645535014011003
556,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-01",30207,71,10200,0,300.443064082,3.00443064082,-0.0723211683158614,-0.645535014011003
558,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-09",31945,69,10200,0,300.443064082,3.00443064082,-0.382439099941899,-0.645535014011003
563,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-16",33643,68,10200,0,300.443064082,3.00443064082,-0.537498065754918,-0.645535014011003
603,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-01",33539,69,10200,0,300.443064082,3.00443064082,-0.382439099941899,-0.645535014011003
604,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-15",34494,68,10200,0,300.443064082,3.00443064082,-0.537498065754918,-0.645535014011003
645,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-01",26937,71,10200,0,300.443064082,3.00443064082,-0.0723211683158614,-0.645535014011003
646,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-01",28317,72,10200,0,300.443064082,3.00443064082,0.0827377974971575,-0.645535014011003
648,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-01",22231,70,10200,0,300.443064082,3.00443064082,-0.22738013412888,-0.645535014011003
655,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-01",30188,69,10200,0,300.443064082,3.00443064082,-0.382439099941899,-0.645535014011003
695,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-09",30235,72,10200,0,300.443064082,3.00443064082,0.0827377974971575,-0.645535014011003
701,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-15",34409,72,10200,0,300.443064082,3.00443064082,0.0827377974971575,-0.645535014011003
780,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-01",28176,73,10200,0,300.443064082,3.00443064082,0.237796763310176,-0.645535014011003
789,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-01",30642,73,10200,0,300.443064082,3.00443064082,0.237796763310176,-0.645535014011003
803,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-15",32767,73,10200,0,300.443064082,3.00443064082,0.237796763310176,-0.645535014011003
806,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-01",26612,72,10200,0,300.443064082,3.00443064082,0.0827377974971575,-0.645535014011003
824,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-15",33827,74,10200,0,300.443064082,3.00443064082,0.392855729123195,-0.645535014011003
825,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-15",33436,73,10200,0,300.443064082,3.00443064082,0.237796763310176,-0.645535014011003
867,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-15",27251,75,10200,0,300.443064082,3.00443064082,0.547914694936214,-0.645535014011003
868,"COLEMAN NFH","Battle","fall",1997,4,"1997-04-15",28272,73,10200,0,300.443064082,3.00443064082,0.237796763310176,-0.645535014011003
624,"COLEMAN NFH","Battle","fall",1997,5,"1997-05-06",32583,71,11300,0,300.443064082,3.00443064082,-0.0723211683158614,-0.585734365092197
776,"COLEMAN NFH","Battle","fall",1997,5,"1997-05-06",67010,73,11300,0,300.443064082,3.00443064082,0.237796763310176,-0.585734365092197
400,"COLEMAN NFH","Battle","fall",1998,3,"1998-03-04",34500,53,65100,0,300.443064082,3.00443064082,-2.8633825529502,2.33906100930033
403,"COLEMAN NFH","Battle","fall",1998,3,"1998-03-04",33836,59,65100,0,300.443064082,3.00443064082,-1.93302875807209,2.33906100930033
405,"COLEMAN NFH","Battle","fall",1998,3,"1998-03-04",25548,56,65100,0,300.443064082,3.00443064082,-2.39820565551114,2.33906100930033
406,"COLEMAN NFH","Battle","fall",1998,3,"1998-03-06",35612,58,65100,0,300.443064082,3.00443064082,-2.08808772388511,2.33906100930033
408,"COLEMAN NFH","Battle","fall",1998,3,"1998-03-06",32477,59,65100,0,300.443064082,3.00443064082,-1.93302875807209,2.33906100930033
409,"COLEMAN NFH","Battle","fall",1998,3,"1998-03-04",26515,58,65100,0,300.443064082,3.00443064082,-2.08808772388511,2.33906100930033
417,"COLEMAN NFH","Battle","fall",1998,3,"1998-03-31",29701,62,65100,0,300.443064082,3.00443064082,-1.46785186063303,2.33906100930033
425,"COLEMAN NFH","Battle","fall",1998,3,"1998-03-31",24173,61,65100,0,300.443064082,3.00443064082,-1.62291082644605,2.33906100930033
447,"COLEMAN NFH","Battle","fall",1998,3,"1998-03-31",21694,65,65100,0,300.443064082,3.00443064082,-1.00267496319397,2.33906100930033
448,"COLEMAN NFH","Battle","fall",1998,3,"1998-03-31",73319,64,65100,0,300.443064082,3.00443064082,-1.15773392900699,2.33906100930033
455,"COLEMAN NFH","Battle","fall",1998,3,"1998-03-31",30772,66,65100,0,300.443064082,3.00443064082,-0.847615997380956,2.33906100930033
457,"COLEMAN NFH","Battle","fall",1998,3,"1998-03-31",27654,65,65100,0,300.443064082,3.00443064082,-1.00267496319397,2.33906100930033
471,"COLEMAN NFH","Battle","fall",1998,3,"1998-03-31",32790,68,65100,0,300.443064082,3.00443064082,-0.537498065754918,2.33906100930033
401,"COLEMAN NFH","Battle","fall",1998,4,"1998-04-07",33665,55,38200,0,300.443064082,3.00443064082,-2.55326462132416,0.876663322104065
402,"COLEMAN NFH","Battle","fall",1998,4,"1998-04-23",32292,57,38200,0,300.443064082,3.00443064082,-2.24314668969813,0.876663322104065
467,"COLEMAN NFH","Battle","fall",1998,4,"1998-04-23",26796,66,38200,0,300.443064082,3.00443064082,-0.847615997380956,0.876663322104065
468,"COLEMAN NFH","Battle","fall",1998,4,"1998-04-07",26750,64,38200,0,300.443064082,3.00443064082,-1.15773392900699,0.876663322104065
475,"COLEMAN NFH","Battle","fall",1998,4,"1998-04-07",29265,65,38200,0,300.443064082,3.00443064082,-1.00267496319397,0.876663322104065
481,"COLEMAN NFH","Battle","fall",1998,4,"1998-04-07",26796,66,38200,0,300.443064082,3.00443064082,-0.847615997380956,0.876663322104065
482,"COLEMAN NFH","Battle","fall",1998,4,"1998-04-22",25711,67,38200,0,300.443064082,3.00443064082,-0.692557031567937,0.876663322104065
495,"COLEMAN NFH","Battle","fall",1998,4,"1998-04-22",28746,68,38200,0,300.443064082,3.00443064082,-0.537498065754918,0.876663322104065
496,"COLEMAN NFH","Battle","fall",1998,4,"1998-04-22",32394,69,38200,0,300.443064082,3.00443064082,-0.382439099941899,0.876663322104065
529,"COLEMAN NFH","Battle","fall",1998,4,"1998-04-22",19624,71,38200,0,300.443064082,3.00443064082,-0.0723211683158614,0.876663322104065
532,"COLEMAN NFH","Battle","fall",1998,4,"1998-04-22",23993,70,38200,0,300.443064082,3.00443064082,-0.22738013412888,0.876663322104065
559,"COLEMAN NFH","Battle","fall",1998,4,"1998-04-22",19558,72,38200,0,300.443064082,3.00443064082,0.0827377974971575,0.876663322104065
561,"COLEMAN NFH","Battle","fall",1998,4,"1998-04-22",17802,72,38200,0,300.443064082,3.00443064082,0.0827377974971575,0.876663322104065
572,"COLEMAN NFH","Battle","fall",1998,4,"1998-04-22",20322,73,38200,0,300.443064082,3.00443064082,0.237796763310176,0.876663322104065
412,"COLEMAN NFH","Battle","fall",1999,3,"1999-03-31",25343,59,41200,0,300.443064082,3.00443064082,-1.93302875807209,1.03975600097354
404,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-27",34976,59,17200,0,300.443064082,3.00443064082,-1.93302875807209,-0.264985429982236
420,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-27",36522,63,17200,0,300.443064082,3.00443064082,-1.31279289482001,-0.264985429982236
433,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-27",35178,63,17200,0,300.443064082,3.00443064082,-1.31279289482001,-0.264985429982236
446,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-27",35985,68,17200,0,300.443064082,3.00443064082,-0.537498065754918,-0.264985429982236
461,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-27",34932,65,17200,0,300.443064082,3.00443064082,-1.00267496319397,-0.264985429982236
472,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-21",28065,68,17200,0,300.443064082,3.00443064082,-0.537498065754918,-0.264985429982236
476,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-21",26324,68,17200,0,300.443064082,3.00443064082,-0.537498065754918,-0.264985429982236
483,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-27",36305,68,17200,0,300.443064082,3.00443064082,-0.537498065754918,-0.264985429982236
490,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-27",35197,69,17200,0,300.443064082,3.00443064082,-0.382439099941899,-0.264985429982236
502,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-21",29882,69,17200,0,300.443064082,3.00443064082,-0.382439099941899,-0.264985429982236
504,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-20",30642,69,17200,0,300.443064082,3.00443064082,-0.382439099941899,-0.264985429982236
528,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-20",31173,71,17200,0,300.443064082,3.00443064082,-0.0723211683158614,-0.264985429982236
539,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-27",33303,70,17200,0,300.443064082,3.00443064082,-0.22738013412888,-0.264985429982236
554,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-20",31096,71,17200,0,300.443064082,3.00443064082,-0.0723211683158614,-0.264985429982236
562,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-20",32292,72,17200,0,300.443064082,3.00443064082,0.0827377974971575,-0.264985429982236
565,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-20",22465,73,17200,0,300.443064082,3.00443064082,0.237796763310176,-0.264985429982236
576,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-20",32880,72,17200,0,300.443064082,3.00443064082,0.0827377974971575,-0.264985429982236
582,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-20",22569,73,17200,0,300.443064082,3.00443064082,0.237796763310176,-0.264985429982236
612,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-27",73747,74,17200,0,300.443064082,3.00443064082,0.392855729123195,-0.264985429982236
681,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-27",32792,75,17200,0,300.443064082,3.00443064082,0.547914694936214,-0.264985429982236
727,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-20",16391,76,17200,0,300.443064082,3.00443064082,0.702973660749233,-0.264985429982236
737,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-20",19602,78,17200,0,300.443064082,3.00443064082,1.01309159237527,-0.264985429982236
778,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-28",31315,78,17200,0,300.443064082,3.00443064082,1.01309159237527,-0.264985429982236
788,"COLEMAN NFH","Battle","fall",1999,4,"1999-04-28",31438,78,17200,0,300.443064082,3.00443064082,1.01309159237527,-0.264985429982236
2275,"SAC R BEL RBDD","RBDD","fall",2000,3,"2000-03-06",46396,57,72600,1,240.3631,2.403631,-2.24314668969813,2.74679270647401
