"group_index","release_group_id","year","month","release_location_name","relloc_area","mean","sd","2.5%","50%","97.5%","n_eff","Rhat"
1,2259,1994,3,"SAC R BEL RBDD","RBDD",0.00590598037082978,0.011182213190805,1.62954745932642e-05,0.00175407770889314,0.03666933405409,1367.81831140604,0.998820068599007
2,2260,1994,3,"SAC R BEL RBDD","RBDD",0.00667558877615845,0.0134830138650268,1.32452943467583e-05,0.00185027579837944,0.0450574629594287,1504.76953263376,1.00081252758427
3,432,1994,4,"COLEMAN NFH","Battle",0.0109134396840398,0.0194395009114925,1.94212814233936e-05,0.00354956821743638,0.061356707810564,1517.89355411461,1.00035017802685
4,560,1994,4,"COLEMAN NFH","Battle",0.0161799799397723,0.0253406513889177,3.92784161164616e-05,0.00678881445203693,0.0881744145024036,1532.51498294703,1.00015557732839
5,790,1994,4,"COLEMAN NFH","Battle",0.0202713383221027,0.0304441757706509,9.57123621539971e-05,0.00924636419529793,0.104506274155411,1125.34129399647,1.00125850621133
6,474,1996,3,"COLEMAN NFH","Battle",0.00530455731131052,0.00649826208736645,4.81879038734877e-05,0.00284122575388408,0.023033200696367,1994.45779385,0.998212345775204
7,477,1996,3,"COLEMAN NFH","Battle",0.00518709790034023,0.00603787070167441,5.76491060279134e-05,0.00301376994411572,0.0229728867723022,2124.28203921387,0.999019736467105
8,667,1996,4,"COLEMAN NFH","Battle",0.00544846670630604,0.0065254411747072,5.81703770258775e-05,0.00309137033904805,0.0249367977513409,2404.85073346085,0.998422005172622
9,411,1997,4,"COLEMAN NFH","Battle",0.00649427691752063,0.0129097896682961,6.24447183177831e-06,0.00170406617586852,0.0408233564578563,1254.94367559496,1.00203837103955
10,456,1997,4,"COLEMAN NFH","Battle",0.00805153870646595,0.0144202704137832,1.32324538824291e-05,0.00249200660651247,0.0517841921909373,1563.99008347366,1.00035394943638
11,506,1997,4,"COLEMAN NFH","Battle",0.0190653128137472,0.0317562562650113,4.90944623809656e-05,0.00622631461567468,0.107596716469434,1542.25364831522,0.998521402887189
12,552,1997,4,"COLEMAN NFH","Battle",0.0193298926548598,0.032752019157182,2.97830291930031e-05,0.00622235420723166,0.115985143548232,1501.59235276971,0.998092616914552
13,556,1997,4,"COLEMAN NFH","Battle",0.0234764709463747,0.0364059952633103,5.08261308796073e-05,0.00907218778869531,0.140954368938923,1789.91676955188,0.999394462017058
14,558,1997,4,"COLEMAN NFH","Battle",0.0208630134321264,0.0323770037602009,5.55292738079133e-05,0.0084236043229531,0.109875244202037,1627.77051044529,1.00033544225701
15,563,1997,4,"COLEMAN NFH","Battle",0.0198471884140698,0.0362043192971595,2.25050228500788e-05,0.0062100185146596,0.125623034843668,1575.97259685179,1.00054343331631
16,603,1997,4,"COLEMAN NFH","Battle",0.0218354956446177,0.0354350590399876,2.66630470978743e-05,0.00803266097685467,0.12438000970551,1228.12987532106,1.00271450343457
17,604,1997,4,"COLEMAN NFH","Battle",0.0196356580966961,0.0317471843766393,3.30608867496798e-05,0.00752310726445605,0.119948305305689,1406.77459908054,0.999244848586847
18,645,1997,4,"COLEMAN NFH","Battle",0.0282685570719079,0.0471118345150408,5.2483197453477e-05,0.0100957486191757,0.176528909577567,1355.54497849721,1.00077193788302
19,646,1997,4,"COLEMAN NFH","Battle",0.0262864991621932,0.0390926207585923,6.57485689817886e-05,0.0119333781790797,0.141955008763602,1672.65683864759,0.99915422553371
20,648,1997,4,"COLEMAN NFH","Battle",0.0300243987567447,0.049519523201244,4.2457992443888e-05,0.0101040015284069,0.184601559124403,1370.09086084654,0.998935355784137
21,655,1997,4,"COLEMAN NFH","Battle",0.0241494757948292,0.0408693657233068,3.50766517088171e-05,0.00844250978703336,0.146118560902067,1438.36327222682,1.0009497601679
22,695,1997,4,"COLEMAN NFH","Battle",0.024958259388693,0.0389134612600307,5.60068065445509e-05,0.00934608761641694,0.14299467710006,1553.77607970033,0.999843823294274
23,701,1997,4,"COLEMAN NFH","Battle",0.0234987315036387,0.0375337400417525,5.28287139028722e-05,0.00883110279088677,0.146146633230305,1542.90588505365,0.999154846725538
24,780,1997,4,"COLEMAN NFH","Battle",0.0261897594676497,0.0385460195600651,0.000116029849780223,0.0122105522135878,0.133460264569709,1726.70991597359,0.999937469613585
25,789,1997,4,"COLEMAN NFH","Battle",0.0292534452843634,0.0484451736038042,4.51885775096546e-05,0.0106903832850554,0.169303310219446,1245.86156903691,0.999489349589212
26,803,1997,4,"COLEMAN NFH","Battle",0.0254601141973488,0.0369740436797838,7.31712913263021e-05,0.0103249308264202,0.140378384054776,1532.90610604141,0.998881078650469
27,806,1997,4,"COLEMAN NFH","Battle",0.0277926068178744,0.0438694699882081,0.000100452187895979,0.0103576528646977,0.155082800698689,1498.19648700688,1.00084760800225
28,824,1997,4,"COLEMAN NFH","Battle",0.0242130840890208,0.0360246518203785,0.000102910621064114,0.0110927583031645,0.121593102003003,1868.28695007593,1.00012211161495
29,825,1997,4,"COLEMAN NFH","Battle",0.025043171047791,0.0366381239159442,8.30067561321076e-05,0.0103921167837566,0.130980211252824,2087.28089589035,0.999077728933853
30,867,1997,4,"COLEMAN NFH","Battle",0.0336202477332211,0.048836694017655,9.49400560495251e-05,0.0150945415579102,0.183720781675671,1643.04542008285,1.0002762356238
31,868,1997,4,"COLEMAN NFH","Battle",0.030191126383743,0.0446259280144231,7.3172004921593e-05,0.0130362587736333,0.155987923953104,1567.42536047884,1.00069464226903
32,624,1997,5,"COLEMAN NFH","Battle",0.0253389858514356,0.0412487101197453,4.70314382230008e-05,0.00882205154996502,0.140752389339002,1722.52781577879,0.999228494129996
33,776,1997,5,"COLEMAN NFH","Battle",0.0148449098738274,0.0221694203249362,3.9600262953067e-05,0.00616961561488301,0.073690480352993,1654.48007212986,1.00003814089354
34,400,1998,3,"COLEMAN NFH","Battle",0.0252950455153422,0.0395107372469623,9.22043399707453e-05,0.00949014302896004,0.131145828323749,1660.23181502947,0.999721545704041
35,403,1998,3,"COLEMAN NFH","Battle",0.0322048064567582,0.0464816301627613,0.000118618626010944,0.0143034047802902,0.164507059706993,1643.96386244207,0.99978023009241
36,405,1998,3,"COLEMAN NFH","Battle",0.0358567543721385,0.0518897697615509,0.000118694295273289,0.0147355915099918,0.185093466965159,1407.92532039098,0.998389102083901
37,406,1998,3,"COLEMAN NFH","Battle",0.0302049659617494,0.0406655142779907,0.000131896528333778,0.0141062669860345,0.144405340508393,1692.74386660658,0.999612073255698
38,408,1998,3,"COLEMAN NFH","Battle",0.031622125403263,0.0458956416709825,0.000110737338188709,0.0140771399783796,0.174183206576039,1436.23616612137,0.9993482615412
39,409,1998,3,"COLEMAN NFH","Battle",0.0379700279337619,0.0553554255034704,0.000121306573327721,0.0165023662462017,0.204326571469422,1902.15990252592,0.998666740757568
40,417,1998,3,"COLEMAN NFH","Battle",0.0393624437885163,0.0531361070320848,0.000235799406861,0.0199030175073025,0.188031814864369,1734.93857433744,0.999025532822544
41,425,1998,3,"COLEMAN NFH","Battle",0.0431071773046001,0.0581440457893723,0.000271773078487205,0.0197734706251869,0.209659132198008,1545.35428838363,0.99927626108995
42,447,1998,3,"COLEMAN NFH","Battle",0.0555251168794261,0.0721081697037804,0.000371919170205911,0.029188858017962,0.262734761295761,1577.67306390117,0.999971853884054
43,448,1998,3,"COLEMAN NFH","Battle",0.0193059457885925,0.0244159216269595,0.000210047692239453,0.0102254282334283,0.086693193027248,1813.66026766331,0.999421181099431
44,455,1998,3,"COLEMAN NFH","Battle",0.0443880234462353,0.0544580907256294,0.000491932422338078,0.0243952662378179,0.191038593568248,1500.11235203424,0.999717358275838
45,457,1998,3,"COLEMAN NFH","Battle",0.0466214535536789,0.0581521804298594,0.000404833847834605,0.0250552787989906,0.217491157640258,1640.02796914197,1.0005516030692
46,471,1998,3,"COLEMAN NFH","Battle",0.0449749466649878,0.0570885893718048,0.000455552087694888,0.0238637656537923,0.21065218103144,1794.5314642219,0.998233081770659
47,401,1998,4,"COLEMAN NFH","Battle",0.0173271423676532,0.0304034718597682,2.51145694662749e-05,0.00529321266185797,0.101874251615011,1751.21023194102,0.99834149019149
48,402,1998,4,"COLEMAN NFH","Battle",0.0199070493907069,0.032792569096929,5.60015287062973e-05,0.00695146694001558,0.112894603964759,1277.38177405085,1.00233470264576
49,467,1998,4,"COLEMAN NFH","Battle",0.034631187691704,0.0465888240262037,0.000122360333760204,0.0145946583779974,0.174484157256464,1791.75377311084,0.998269055736371
50,468,1998,4,"COLEMAN NFH","Battle",0.029831047136216,0.0429690237044948,9.71451190007139e-05,0.0130932612997071,0.160075385639867,1695.77089826741,0.998797732130336
51,475,1998,4,"COLEMAN NFH","Battle",0.0302440057889988,0.0479438361762736,7.56818073561287e-05,0.0120878400658906,0.161578760716889,1789.31350625128,0.998211070757188
52,481,1998,4,"COLEMAN NFH","Battle",0.0334625195763703,0.0492071671649588,0.000105948727374982,0.0149155710704284,0.180418000511233,1056.08934724818,1.00355006768794
53,482,1998,4,"COLEMAN NFH","Battle",0.0370766760255631,0.0564624125125722,0.000105935032253923,0.0153829335081922,0.183194855148921,1438.49261569003,0.99822635697913
54,495,1998,4,"COLEMAN NFH","Battle",0.0371121222426226,0.0522711345387567,0.000155702867525289,0.0171633268734712,0.188947729318011,1674.95023006989,1.00032127709893
55,496,1998,4,"COLEMAN NFH","Battle",0.0330028350590806,0.048376469525079,0.000161864632404031,0.0157471737034342,0.16054101962217,1694.66814666827,0.998712257235691
56,529,1998,4,"COLEMAN NFH","Battle",0.0540403712415408,0.0749292808986793,0.000204643374984255,0.0258005809939306,0.276214489460499,1271.71936148203,1.0003687834986
57,532,1998,4,"COLEMAN NFH","Battle",0.0436866804373867,0.0634202543489662,0.000198458442479929,0.01826143714216,0.222688572613569,1514.4216571943,0.999453887107512
58,559,1998,4,"COLEMAN NFH","Battle",0.0596876208985767,0.080610166511592,0.000419317432803677,0.0287997283381,0.297291702627721,1637.25940667446,0.999332171421248
59,561,1998,4,"COLEMAN NFH","Battle",0.0605524024572738,0.0793607905465921,0.000269951128942816,0.0314602315803324,0.289361418663527,1729.61408547105,0.999579946207539
60,572,1998,4,"COLEMAN NFH","Battle",0.0577730629728917,0.0763188614329743,0.000420078260862211,0.0288616597559954,0.289540736069131,1586.78280625564,1.00052316397399
61,412,1999,3,"COLEMAN NFH","Battle",0.0265311612738994,0.0434271929641529,3.64160478572087e-05,0.00941595002354977,0.142325529584374,1488.70529063178,1.00022713968921
62,404,1999,4,"COLEMAN NFH","Battle",0.014259749713915,0.0281040085855417,1.62075399809284e-05,0.00384115695341125,0.10017679353797,1747.70560975788,1.00078998956083
63,420,1999,4,"COLEMAN NFH","Battle",0.0157564868246148,0.0267572038457799,2.3800409428966e-05,0.00494537258776765,0.0972411833826465,1845.57823646075,1.00024935212931
64,433,1999,4,"COLEMAN NFH","Battle",0.0170734495017162,0.0290900468465996,3.17582820280054e-05,0.00563559279794983,0.0988373243392905,1717.65767598629,0.999115322698452
65,446,1999,4,"COLEMAN NFH","Battle",0.0212209133497432,0.0341327759696575,4.97782657482107e-05,0.00845987810058926,0.112391799826012,1648.27380160394,1.00014863027896
66,461,1999,4,"COLEMAN NFH","Battle",0.018271088834299,0.0321955841887911,3.80322446778589e-05,0.00675648534699523,0.100729713463635,1617.9183317655,0.999274181407826
67,472,1999,4,"COLEMAN NFH","Battle",0.0264489158578278,0.0439528138741328,4.91271071862438e-05,0.00969694807276827,0.154652257470058,1777.46172195692,1.00040187818982
68,476,1999,4,"COLEMAN NFH","Battle",0.0256154453699981,0.0405844703494252,4.89421744308932e-05,0.0102727035170128,0.135577511441324,1547.46485130287,0.998908485666016
69,483,1999,4,"COLEMAN NFH","Battle",0.0198930503911146,0.0309862848677852,5.80216211801469e-05,0.00775435346729522,0.113951078414468,1737.38342382713,0.999116259076669
70,490,1999,4,"COLEMAN NFH","Battle",0.0223152762427415,0.035676062956819,4.37382967951185e-05,0.00789094796672577,0.132959038364478,1430.6263360407,0.998911618553843
71,502,1999,4,"COLEMAN NFH","Battle",0.0241231556868976,0.037578614448777,5.83129497684994e-05,0.00922185460280077,0.128362572914917,1334.57360612368,0.999211764112517
72,504,1999,4,"COLEMAN NFH","Battle",0.0252037555532337,0.0388929593560156,6.05002003637249e-05,0.0103511425132561,0.133491983264962,1526.48969768115,1.00208866428593
73,528,1999,4,"COLEMAN NFH","Battle",0.0250164334257176,0.036614183146718,7.08264558036838e-05,0.0100769000648348,0.130502523974858,1559.95350139162,1.00138867486003
74,539,1999,4,"COLEMAN NFH","Battle",0.0243671764769704,0.0373447155800873,4.68095108879075e-05,0.00982068535421568,0.135609982418007,1589.28944018285,0.99851324144226
75,554,1999,4,"COLEMAN NFH","Battle",0.0269859262732391,0.042338922172884,9.72173637554863e-05,0.0103978066038096,0.137325078206966,1646.36814673505,0.998716982580713
76,562,1999,4,"COLEMAN NFH","Battle",0.0250796619273977,0.0348274848014811,7.53245550763486e-05,0.0116414812093896,0.133406886840572,1625.8489302796,0.999870949613899
77,565,1999,4,"COLEMAN NFH","Battle",0.0409010782541902,0.0608430622341889,0.000174386439915399,0.0162859863718214,0.223372473872858,1178.32904336126,0.998431549216416
78,576,1999,4,"COLEMAN NFH","Battle",0.0262782265929575,0.0419987962789632,0.000124039424381764,0.0113110988550629,0.137484229456699,1749.76287102289,1.00108353918053
79,582,1999,4,"COLEMAN NFH","Battle",0.0370544345373933,0.0548319323205134,0.000146928015381959,0.0156151763707043,0.186697813114904,1544.2649465406,0.999525113446387
80,612,1999,4,"COLEMAN NFH","Battle",0.0149403402068013,0.0209870374385289,6.6698442578834e-05,0.0072601385983485,0.0760837294061667,1919.42912481923,0.999692926799373
81,681,1999,4,"COLEMAN NFH","Battle",0.0311952686911635,0.0413697748921945,0.000193988039474405,0.0148700545100101,0.152377406187595,1587.52052432339,0.99865336901135
82,727,1999,4,"COLEMAN NFH","Battle",0.0535581937796711,0.0715181452647505,0.000280792600682064,0.0257503778824134,0.26486292572589,1549.58977012884,0.999329636853029
83,737,1999,4,"COLEMAN NFH","Battle",0.0541213594877845,0.0763057907951738,0.000257957615978526,0.0261281999398452,0.27677781140938,1310.58424843792,0.999428702034167
84,778,1999,4,"COLEMAN NFH","Battle",0.0373794634658527,0.0508717335484962,0.000207322748978171,0.0180246657649917,0.178960948044688,1703.97008348245,0.998741136012477
85,788,1999,4,"COLEMAN NFH","Battle",0.0356652438625422,0.0479179743955073,0.000149467694964931,0.0167005337101046,0.16519869800055,1917.09166505953,1.0010631669777
86,2275,2000,3,"SAC R BEL RBDD","RBDD",0.0802888965144627,0.063373222445681,0.00718102107927805,0.0642089640530786,0.241424036062937,1546.16336794072,0.998278116783734
87,2276,2000,3,"SAC R BEL RBDD","RBDD",0.0728049930892794,0.0610981596468688,0.00542544036372635,0.0562711340910775,0.233228568769912,2358.28056604083,0.999622786073857
88,680,2000,4,"COLEMAN NFH","Battle",0.146906973456554,0.0984199809669269,0.0192208972832015,0.125760658278128,0.387419829019995,1222.8266163208,0.999196131942126
89,714,2000,4,"COLEMAN NFH","Battle",0.0299643499434461,0.0413908624814203,0.000171762571345086,0.0137766597900103,0.150081791912285,1835.17864329206,1.00283326611109
90,715,2000,4,"COLEMAN NFH","Battle",0.0915623322066141,0.0765377478813023,0.00600360266599419,0.0705347864027531,0.293452413483687,1580.20665228399,1.00087041530974
91,717,2000,4,"COLEMAN NFH","Battle",0.0961627959256496,0.0783403161561395,0.0070421137554701,0.076882664333886,0.305048736239991,1517.62569955368,1.00136532496154
